name,diagram,fingering,notes,degrees
Am,2 0 0 0,2 0 0 0,A C E A,1 b3 5 1
B,4 3 2 2,3 2 1 1,B D# F# B,1 3 5 1
C,0 0 0 3,0 0 0 3,G C E C,5 1 3 1
G,0 2 3 2,0 1 3 2,G D G B,1 5 1 3
